index,label,text
1,1, p feminists for wage because a women s needs the an wage at her 
2,1, army of england helped the jews to palestine after that the jews killed thousands of and to england as 
3,1,leader says europe to in us altright whitegenocide https t co
4,1,rt the next day the romans and the jews or was like fuck that nigga jesus we out on his ass today https t 
5,1,rt when hitler the jews to the but it t the gas they was https t co
6,1,rt to netanyahu for his second this week at the un the jews have finally done it they 
7,1,rt white people literally be like i am not racist you fucking nigger 
8,1,rt the jews were free to the camps bill o
9,1,rt i would have killed all the jews in the world but i kept some to show the world why i killed them hitler http t co 
10,1,rt i can do news i can do and i am news when they say the jews control the media they are 
11,1,rt did a on and blamed it all on the jews
12,1, who the jews they run the even today 
13,1,rt diversity is a code word for whitegenocide https t co a 
14,1,rt https t co w migrant of year old daughter https t co v q whitegenocide
15,1,rt of in the are https t co whitegenocide trump https 
16,1,rt liberal muslim girl from is why did not hitler kill all the jews just wow https t co
17,1, altright those have from a and society into a whitegenocide
18,1,rt when hitler the jews to the but it was not the gas they was https t co
19,1,rt ask yourself why have not you heard of this mass racist whitelivesmatter http t co
20,1,very hitler like the nazi did the isame to the jews btw islam hitler https t co k
21,1, love is in society are by its whitegenocide
22,1, if hitler kill majority of the jews maybe world gonna be so and is everywhere 
23,1, the jews are the idiot
24,1, the u s is shit they blame hitler but not the jews who it 
25,1, trump trump whitegenocide waronwhites antiwhite https t co 
26,1,rt africa africans asia asians white countries everybody thats whitegenocide http t 
27,1,rt is code word for antiwhite stop whitegenocide http t co r no 
28,1,rt who the world the jews who all the wars the jews who created the jews https 
29,1,rt support stop whitegenocide http t co v c
30,1,rt anti white full all the white kids into whitegenocide https t co
31,1,rt it s a two system people everyone the white man has a right to their own land whitegenocide http t co
32,1,rt go back to you fucking nigger
33,1,rt your race was right white women are raped each year in the usa by blacks rape whitegenocide h
34,1,rt and people that is chasing down the last white guy we even a minority whitegenocide https
35,1,rt your children are only safe from whitegenocide for so long fight now while we still have political power https t 
36,1,rt kill the jews and each other words
37,1,rt whites must learn to support think act one idea among many http t co
38,0, for the i see as the next world war not fucking muslims 
39,0, this is our israel this is for the jews no palestinian should come to israel http t co x http t co
40,0, reading the the jews are and okay i guess reading the the jews did this
41,0, go for if its a free for now where you live your side opinion work to whitegenocide 
42,0, throw a in before you go whitepower
43,0, whitepower
